"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 19 20:43:50 GMT 2023","Tue Dec 19 20:43:50 GMT 2023","105","","com.qxam.tests.HomePageTests","","com.qxam.tests.HomePageTests","shouldIncludeNameInFooter","shouldIncludeNameInFooter()",""
"passed","Tue Dec 19 20:43:50 GMT 2023","Tue Dec 19 20:43:50 GMT 2023","182","","com.qxam.tests.HomePageTests","","com.qxam.tests.HomePageTests","shouldIncludeBrandName","shouldIncludeBrandName()",""
