"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 21 16:39:02 GMT 2023","Thu Dec 21 16:39:02 GMT 2023","175","","com.qxam.tests.HomePageTests","","com.qxam.tests.HomePageTests","shouldIncludeBrandName","shouldIncludeBrandName()",""
"passed","Thu Dec 21 16:39:02 GMT 2023","Thu Dec 21 16:39:02 GMT 2023","110","","com.qxam.tests.HomePageTests","","com.qxam.tests.HomePageTests","shouldIncludeNameInFooter","shouldIncludeNameInFooter()",""
